sentiment,text
negative,"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years ."
positive,"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan ."
positive,Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .
negative,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months ."
negative,"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland ."
negative,Possible personnel reductions concern approximately 104 people .
neutral,Teleste BK Optiflex amplifier products will be used in ongoing capacity upgrade of KDG 's network to bi-directionality .
neutral,Nordic Walking was first used as a summer training method by cross-country skiers .
neutral,"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland ."
neutral,"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products ."
positive,"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten ."
neutral,Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .
positive,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .
positive,The insurer anticipates its share in Nordea 's net profit to be significant .
negative,Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .
neutral,Approval by shareholders of Cencorp in accordance with Finnish law .
neutral,"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions ."
positive,"Operating profit surged to EUR21m from EUR106 ,000 ."
negative,Scanfil has also issued a profit warning .
positive,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 ."
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .
negative,"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 ."
negative,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .
neutral,To see a slide show of all the newest product releases from Fiskars .
neutral,"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 ."
positive,Etteplan targets to employ at least 20 people in Borl+�nge .
negative,"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 ."
negative,stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .
negative,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 ."
negative,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies ."
positive,"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share ."
neutral,"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia ."
negative,Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .
negative,"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses ."
negative,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago ."
positive,Latvenergo has ordered a significant expansion to the Tekla Xpower network information system .
neutral,"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow ."
neutral,"Currently Glaston employs approximately 1,500 persons ."
neutral,"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix ."
neutral,"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com ."
negative,"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today ."
negative,"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models ."
negative,"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company ."
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m ."
neutral,"Stonesoft is a global provider of proven , next generation solutions that simplify network security management ."
neutral,"According to Finnish financial services group Sampo 's CEO , Bj+�rn Wahlroos , Danish Danske Bank 's acquisition of Sampo Bank for EUR 4bn was the largest cash deal in Finland 's economic history ."
positive,"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely ."
negative,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ."
negative,"The negotiation has resulted in the reduction of 80 people in regular employment , around half of which will be covered with pension arrangements ."
neutral,"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway ."
negative,EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .
negative,It is a disappointment to see the plan folded .
neutral,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company ."
neutral,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems ."
negative,"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told ."
negative,"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier ."
negative,"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 ."
positive,"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera"
neutral,"In addition , MIDs are always online and enable full Internet browsing ."
positive,"Sales VAT inclusive expanded by 19 percent , to 351 million euros ."
negative,"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 ."
negative,The number of bodily injury cases quadrupled in 2000-2006 .
positive,"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year ."
positive,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 ."
neutral,Nordea Bank Estonia is part of the largest financial group in the Nordic countries .
neutral,Mobile data transfer is expected to increase explosively in the LTE era .
positive,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .
positive,"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said ."
positive,Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .
negative,"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 ."
positive,"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes ."
neutral,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .
positive,Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .
positive,"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) ."
positive,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 ."
negative,"Operating profit for the 12-month period decreased from EUR2 .9 m while turnover increased from EUR24 .5 m , as compared to the financial year 2004 ."
neutral,"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki ."
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 ."
neutral,The first group of customers to be trained will be paint-shop owners and their assistants .
neutral,Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . ''
positive,"ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe ."
positive,"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience ."
negative,Incap Furniture is presently negotiating staff cuts .
negative,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ."
neutral,Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .
negative,Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .
positive,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million ."
negative,Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units ."
negative,"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools ."
negative,Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 .
negative,"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 ."
positive,"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market ."
negative,"The dollar fell , though , against the pound and the yen ."
neutral,"Nokia will deliver a WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station to Indosat ."
positive,"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market ."
negative,"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions ."
neutral,A merger between UPM and Finnish-Swedish Stora Enso is not likely either .
positive,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .
positive,The program 's target is structural cost reductions of about EUR 30mn in 2009 .
negative,"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 ."
negative,"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel ."
negative,Net sales have been eaten by the weak US dollar .
negative,Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .
negative,"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn ."
positive,Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .
neutral,Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .
neutral,The emerging markets that Raisio has chosen to enter so far are marked by relatively low per capita food consumption .
positive,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers ."
neutral,"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders ."
neutral,This organization will assume the responsibility for operations in Russia .
positive,"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 ."
positive,"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself ."
negative,LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .
positive,"So far , Mr. Galvan he has been able to avoid laying off workers ."
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks ."
neutral,"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) ."
neutral,"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts ."
neutral,"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres ."
positive,"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago ."
positive,"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said ."
positive,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .
positive,"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon ."
negative,"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors ."
neutral,"Also Ruukki Construction , Rautaruukki 's construction division , is initiating employer-employee negotiations at its sites in Alaj+�rvi , Vimpeli and Per+�sein+�joki in Finland ."
positive,"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''"
neutral,Status : Agreed
positive,"Ixonos estimates that it will hire 20 specialists in mechanical engineering , electronics design , and R&D for its new unit in Jyvaeskylae by the end of 2009 ."
negative,"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 ."
neutral,"One can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities ."
positive,Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .
negative,Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .
negative,"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''"
neutral,"France T+_l+_com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said ."
neutral,The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .
negative,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales ."
negative,"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier ."
negative,"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur ."
positive,The company 's market share is continued to increase further .
neutral,Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .
neutral,15 November 2010 - Finnish energy company Fortum Oyj HEL : FUM1V said today it and partners started negotiations to establish a new operating model for energy supply in the Turku region of western Finland .
neutral,Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .
negative,"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover ."
positive,The court found TelecomInvest 's arguments convincing .
neutral,"The most popular mobile data services are email , surfing the internet , as well as news and weather services ."
positive,"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year ."
negative,"That 's what I go to bed worrying about every night , ' he said ."
neutral,The combined value of the planned investments is about EUR 30mn .
neutral,"In Finland , export industry forms a large clientele for the packaging industry ."
positive,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow ."
negative,"According to the company , staff will be laid off temporarily when necessary ."
positive,"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy ."
negative,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 ."
positive,"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen ."
positive,"Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said ."
negative,"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team ."
neutral,"The orders are for 26 machine-room-less KONE MonoSpace elevators , which would be installed during 2006 ."
positive,The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .
negative,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond"
negative,Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .
negative,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 ."
negative,"Finnish Suominen Flexible Packaging Ltd , owned by local textile company Suominen Corporation Group ( HEL : SUY1V ) , said today that it would start employee negotiations concerning its entire personnel in Finland ."
negative,UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .
negative,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily ."
positive,"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies ."
negative,"In Q1 of 2009 , Bank of +_land 's net interest income weakened by 10 % to EUR 9.1 mn ."
positive,Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .
negative,"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries ."
neutral,"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system ."
neutral,Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .
neutral,The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .
neutral,"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners ."
neutral,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added ."
neutral,This amount will not be included in the pensionable salary .
negative,"have notified that as a result of the Company issuing 14,432,000 new shares in the directed offering , the joint holdings of Pequot has decreased below 1-10 to 9.63 % of total number of shares and votes in the Company ."
positive,"However , he expects banks to provide alternative financing ."
positive,"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement ."
negative,"Cuts equivalent to the costs of about 35-45 employees are the target , the company said ."
neutral,The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .
positive,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) ."
neutral,The purchase sum is about EUR 10mn US$ 12.97 mn .
negative,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market ."
neutral,The Court 's decision will also promote genuine competition in services
neutral,Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .
negative,"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 ."
negative,Small investors have voiced fears that the shares will end up with risk investors .
negative,"The offer , deemed too low by Finnlines ' board , stands until 4 pm tomorrow ."
negative,"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 ."
neutral,"The second company acquired is Sweden 's Reftele Maskinservice AB , whose business is mainly field services and spare parts manufacturing , with 10 employees and 1.2 mln eur sales a year ."
neutral,"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai ."
negative,Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .
negative,"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering ."
negative,"On the other hand , Finnish sawmills ' production has decreased even more ."
positive,"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades ."
positive,`` The combined activities will create value for shareholders and be good for our employees and customers .
neutral,"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red ."
neutral,"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said ."
negative,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri"
neutral,"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks ."
neutral,"The mill 's raw material need will increase by 100,000 m3 of wood ."
negative,Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .
positive,"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 ."
negative,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 ."
neutral,The contract is worth some EUR 1 million .
neutral,"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings ."
neutral,The total investment in 2006 and 2007 is expected to amount to about EUR75m .
positive,The Group 's cash flow from operations will be positive .
neutral,"production facilities 6 July 2010 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business ."
neutral,"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia ."
neutral,Poyry is a global expert in consulting and engineering .
neutral,"Sami Sepp+�nen , CEO for Elisa Eesti , says the novel network allows fast mobile broadband for sparsely populated areas ."
neutral,"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message ."
neutral,"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 ."
negative,"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland ."
neutral,No financial details were revealed .
positive,The executive group will participate in the adjustments with a fixed-term 5 % salary cut .
negative,"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier ."
negative,Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .
positive,"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn ."
negative,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ."
positive,This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .
negative,"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year ."
negative,"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 ."
positive,"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn ."
positive,Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).
neutral,The writing and publication of Lemmink+�inen -� s history is a continuation of earlier collaboration between Antti Tuuri and the company .
positive,"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia ."
negative,Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .
neutral,"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 ."
negative,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .
negative,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ."
positive,` By separating side businesses we will be able to faster expand and develop Tapro retail network .
neutral,"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken ."
neutral,"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care ."
neutral,Her present position is the director of Stockmann 's international department stores .
positive,Net sales surged by 30 % to EUR 36 million .
neutral,"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays ."
neutral,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE ."
negative,"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said ."
negative,Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .
positive,"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target ."
neutral,"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same ."
negative,A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .
negative,"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 ."
neutral,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .
positive,We are now in a position to pursue novel clinical candidates going forward . ''
negative,The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .
positive,Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .
negative,They will cover all Forest Industry 's units and employees in Finland and concern temporary and permanent lay-offs .
neutral,"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments ."
negative,Reported operating margin was a negative 5.9 % .
positive,After the renovation the biggest moulding line in the Orhangazi foundry is the most modern line in Europe .
negative,"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 ."
negative,"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem ."
neutral,Net sales of the Lehdentekijat unit was approximately EUR 14 million in 2007 and it had 70 employees .
neutral,For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .
neutral,The ECB can mainly target inflation .
neutral,The company then said it will focus its resources on clinical research .
positive,"`` We are proud to welcome another distribution facility to north Mississippi and the region known as the logistics center of the United States , '' said Gray Swoope , executive director of MDA ."
